order_id,lens_type,store_id,inventory_available,current_status,days_elapsed,previous_qc_failures,sla_days,breached
137,Single Vision,3,1,Ready for Dispatch,9,2,2,1
138,Progressive,4,0,Order Placed,9,1,5,1
139,Bifocal,3,0,Ready for Dispatch,2,1,5,0
140,Progressive,3,0,Order Placed,4,1,5,1
141,Bifocal,3,1,Order Placed,9,0,2,1
142,Bifocal,2,1,Ready for Dispatch,1,2,2,1
143,Single Vision,1,1,Order Placed,9,2,2,1
144,Single Vision,2,1,Order Placed,5,2,2,0
145,Single Vision,4,0,Delivered,2,1,5,0
146,Single Vision,2,0,Delivered,8,1,5,1
147,Progressive,2,0,Order Placed,6,1,5,1
148,Bifocal,1,1,In Production,7,3,2,1
149,Single Vision,4,1,Out for Delivery,4,2,2,1
150,Single Vision,4,1,In Production,4,0,2,1
151,Single Vision,1,0,Delivered,2,3,5,1
152,Progressive,4,0,Delivered,2,2,5,0
153,Progressive,2,1,Delivered,5,1,2,1
154,Bifocal,3,0,Ready for Dispatch,4,0,5,0
155,Bifocal,2,0,Delivered,1,1,5,0
156,Progressive,1,0,Ready for Dispatch,10,2,5,1
157,Bifocal,4,0,Delivered,6,3,5,1
158,Single Vision,2,0,Out for Delivery,2,3,5,1
159,Bifocal,4,1,In Production,8,0,2,0
160,Bifocal,1,0,Out for Delivery,3,2,5,1
161,Bifocal,2,0,Delivered,10,3,5,1
162,Bifocal,3,0,Out for Delivery,3,0,5,0
163,Progressive,2,1,Ready for Dispatch,1,0,2,0
164,Single Vision,1,1,Out for Delivery,8,3,2,0
165,Progressive,1,1,In Production,2,0,2,0
166,Single Vision,3,1,Out for Delivery,4,1,2,1
167,Progressive,3,1,Out for Delivery,6,0,2,1
168,Progressive,3,1,Ready for Dispatch,5,0,2,1
169,Bifocal,1,1,Ready for Dispatch,9,1,2,0
170,Single Vision,3,1,Delivered,6,3,2,1
171,Single Vision,4,1,Ready for Dispatch,3,2,2,1
172,Bifocal,2,1,In Production,7,1,2,1
173,Single Vision,2,1,Order Placed,2,2,2,1
174,Progressive,3,0,Order Placed,8,3,5,1
175,Bifocal,1,0,In Production,9,2,5,0
176,Bifocal,3,0,Delivered,2,0,5,0
177,Bifocal,4,0,In Production,9,1,5,1
178,Bifocal,3,0,Order Placed,8,1,5,1
179,Single Vision,1,0,Out for Delivery,7,3,5,1
180,Progressive,4,1,Ready for Dispatch,10,2,2,1
181,Single Vision,4,1,In Production,6,1,2,1
182,Single Vision,1,0,Delivered,9,3,5,1
183,Single Vision,1,1,In Production,4,2,2,0
184,Single Vision,4,0,Ready for Dispatch,5,3,5,0
185,Bifocal,1,1,Out for Delivery,1,2,2,1
186,Progressive,2,1,Ready for Dispatch,1,1,2,0
187,Bifocal,2,0,Ready for Dispatch,6,0,5,0
188,Bifocal,3,1,Ready for Dispatch,9,3,2,1
189,Single Vision,4,0,Order Placed,1,1,5,0
190,Bifocal,4,1,Ready for Dispatch,7,0,2,1
191,Progressive,3,1,In Production,3,1,2,1
192,Bifocal,1,0,In Production,10,3,5,0
193,Bifocal,4,1,Ready for Dispatch,10,0,2,1
194,Progressive,4,1,Order Placed,6,0,2,1
195,Bifocal,4,1,Out for Delivery,8,1,2,0
196,Progressive,2,0,Delivered,1,2,5,0
197,Bifocal,3,1,Order Placed,7,0,2,1
198,Progressive,2,1,Out for Delivery,3,3,2,1
199,Single Vision,2,0,In Production,6,3,5,1
200,Single Vision,3,0,Delivered,9,0,5,1
201,Single Vision,1,1,Out for Delivery,1,3,2,1
202,Single Vision,1,1,Order Placed,10,2,2,0
203,Bifocal,1,0,Out for Delivery,3,3,5,0
204,Single Vision,3,1,Out for Delivery,6,0,2,1
205,Single Vision,4,1,Ready for Dispatch,2,0,2,1
206,Progressive,2,1,Out for Delivery,4,2,2,1
207,Progressive,3,1,In Production,8,1,2,0
208,Progressive,4,1,Delivered,9,1,2,1
209,Progressive,3,1,In Production,7,1,2,1
210,Single Vision,2,1,Order Placed,1,2,2,1
211,Single Vision,3,1,Delivered,10,0,2,0
212,Bifocal,2,1,Order Placed,4,3,2,0
213,Bifocal,2,1,In Production,1,0,2,0
214,Bifocal,3,1,Out for Delivery,1,1,2,1
215,Progressive,3,0,In Production,8,0,5,1
216,Bifocal,3,0,Order Placed,9,0,5,0
217,Progressive,3,1,Order Placed,5,3,2,1
218,Single Vision,1,0,Out for Delivery,5,2,5,1
219,Bifocal,3,0,Delivered,8,0,5,1
220,Progressive,4,1,Out for Delivery,8,0,2,0
221,Single Vision,1,1,Order Placed,8,2,2,1
222,Bifocal,3,1,In Production,5,1,2,0
223,Bifocal,3,0,In Production,5,3,5,1
224,Progressive,2,0,In Production,1,2,5,0
225,Single Vision,4,0,Order Placed,10,1,5,1
226,Single Vision,2,0,Delivered,10,2,5,1
227,Progressive,3,0,Order Placed,3,3,5,1
228,Bifocal,4,1,In Production,8,1,2,1
229,Single Vision,1,0,Delivered,2,1,5,0
230,Single Vision,2,1,In Production,10,0,2,1
231,Bifocal,3,1,Ready for Dispatch,7,0,2,1
232,Progressive,1,0,Order Placed,4,1,5,0
233,Progressive,4,1,Ready for Dispatch,8,3,2,1
234,Progressive,1,1,Ready for Dispatch,4,0,2,1
235,Progressive,2,0,Delivered,6,1,5,1
236,Bifocal,2,0,Delivered,7,2,5,1
237,Bifocal,3,0,Out for Delivery,5,2,5,1
238,Bifocal,2,1,Delivered,9,2,2,1
239,Progressive,1,1,Out for Delivery,8,3,2,1
240,Bifocal,4,0,Order Placed,3,2,5,1
241,Bifocal,3,0,In Production,4,1,5,1
242,Bifocal,3,1,In Production,7,0,2,0
243,Progressive,2,0,In Production,1,0,5,0
244,Progressive,2,0,Ready for Dispatch,2,0,5,0
245,Progressive,3,0,Delivered,9,3,5,1
246,Bifocal,2,1,In Production,1,0,2,0
247,Progressive,2,1,Order Placed,2,3,2,1
248,Bifocal,2,0,Out for Delivery,5,2,5,0
249,Progressive,3,1,Out for Delivery,1,2,2,1
250,Single Vision,1,1,Out for Delivery,6,3,2,1
251,Progressive,4,0,Order Placed,2,0,5,0
252,Bifocal,1,0,Delivered,5,0,5,0
253,Bifocal,2,0,Order Placed,5,1,5,1
254,Single Vision,2,0,Order Placed,9,2,5,1
255,Progressive,4,1,Delivered,4,2,2,0
256,Bifocal,4,0,Out for Delivery,10,3,5,0
257,Progressive,2,0,Out for Delivery,6,2,5,1
258,Single Vision,2,1,In Production,5,2,2,1
259,Bifocal,3,1,Order Placed,1,3,2,1
260,Single Vision,2,1,Out for Delivery,8,1,2,1
261,Bifocal,2,1,Out for Delivery,4,0,2,1
262,Bifocal,4,0,Order Placed,4,3,5,1
263,Progressive,2,0,In Production,4,0,5,0
264,Bifocal,1,1,Out for Delivery,10,3,2,1
265,Progressive,4,0,Ready for Dispatch,1,2,5,0
266,Single Vision,1,1,Delivered,8,0,2,1
267,Single Vision,2,1,Ready for Dispatch,4,2,2,1
268,Bifocal,2,1,Delivered,4,1,2,1
269,Single Vision,3,1,In Production,6,2,2,1
270,Single Vision,2,0,Order Placed,10,1,5,0
271,Single Vision,2,1,Order Placed,3,1,2,0
272,Progressive,2,0,Delivered,5,0,5,0
273,Single Vision,2,0,Out for Delivery,2,3,5,1
274,Progressive,4,1,Ready for Dispatch,6,2,2,1
275,Progressive,2,0,Delivered,8,2,5,1
276,Bifocal,1,1,Out for Delivery,9,1,2,1
277,Bifocal,1,1,Out for Delivery,10,3,2,1
278,Bifocal,2,1,Order Placed,1,1,2,0
279,Bifocal,4,0,Order Placed,2,2,5,1
280,Single Vision,2,1,Order Placed,4,0,2,0
281,Bifocal,4,0,Out for Delivery,1,3,5,1
282,Progressive,2,0,Order Placed,9,0,5,1
283,Bifocal,3,1,Delivered,4,2,2,1
284,Bifocal,3,0,Delivered,8,3,5,0
285,Progressive,4,0,Ready for Dispatch,4,2,5,1
286,Bifocal,2,0,Out for Delivery,6,1,5,1
287,Single Vision,1,0,Out for Delivery,2,3,5,0
288,Single Vision,3,0,Delivered,1,1,5,0
289,Bifocal,3,0,In Production,1,0,5,0
290,Single Vision,1,0,Order Placed,7,3,5,1
291,Progressive,2,1,Ready for Dispatch,9,3,2,1
292,Single Vision,4,0,Delivered,2,1,5,0
293,Progressive,3,1,Out for Delivery,3,1,2,1
294,Bifocal,4,1,Order Placed,5,3,2,1
295,Single Vision,2,0,Ready for Dispatch,3,1,5,0
296,Bifocal,2,0,Out for Delivery,8,3,5,1
297,Single Vision,4,1,Ready for Dispatch,1,0,2,0
298,Single Vision,4,0,Order Placed,8,2,5,1
299,Single Vision,2,0,Ready for Dispatch,7,2,5,1
300,Bifocal,4,1,Order Placed,4,2,2,1
301,Progressive,3,0,Order Placed,5,1,5,1
302,Progressive,2,0,Ready for Dispatch,10,2,5,1
303,Bifocal,2,0,Order Placed,4,3,5,1
304,Progressive,2,0,Ready for Dispatch,4,2,5,1
305,Single Vision,4,1,Delivered,8,3,2,1
306,Progressive,3,1,Ready for Dispatch,1,0,2,0
307,Single Vision,4,0,Order Placed,8,0,5,1
308,Bifocal,3,0,Order Placed,2,2,5,1
309,Bifocal,3,0,Delivered,4,2,5,1
310,Single Vision,4,0,Out for Delivery,4,2,5,1
311,Progressive,3,0,In Production,5,0,5,1
312,Progressive,2,0,In Production,7,0,5,1
313,Progressive,1,1,Delivered,3,3,2,1
314,Progressive,4,1,Order Placed,9,1,2,1
315,Progressive,4,1,In Production,7,1,2,1
316,Progressive,4,1,In Production,3,0,2,1
317,Progressive,4,1,Delivered,8,1,2,0
318,Progressive,2,1,Delivered,9,3,2,1
319,Single Vision,1,1,In Production,10,0,2,1
320,Bifocal,2,1,Out for Delivery,10,1,2,1
321,Progressive,2,0,Ready for Dispatch,6,3,5,1
322,Bifocal,3,1,Order Placed,9,1,2,1
323,Single Vision,1,1,Out for Delivery,4,1,2,1
324,Bifocal,2,0,Out for Delivery,5,3,5,1
325,Progressive,2,1,Order Placed,7,1,2,1
326,Progressive,1,0,Ready for Dispatch,6,0,5,0
327,Progressive,1,0,Out for Delivery,5,1,5,1
328,Single Vision,3,1,Ready for Dispatch,1,2,2,1
329,Bifocal,1,0,In Production,1,1,5,0
330,Bifocal,3,0,Out for Delivery,2,2,5,1
331,Progressive,4,0,Ready for Dispatch,7,2,5,1
332,Single Vision,2,0,In Production,4,1,5,1
333,Bifocal,4,1,Order Placed,2,1,2,1
334,Single Vision,3,1,In Production,2,1,2,1
335,Bifocal,1,0,Ready for Dispatch,5,1,5,1
336,Bifocal,1,1,In Production,1,0,2,1
337,Progressive,2,0,Delivered,9,0,5,1
338,Single Vision,2,0,Out for Delivery,7,2,5,0
339,Progressive,3,1,Delivered,8,1,2,1
340,Single Vision,2,1,Order Placed,5,2,2,0
341,Bifocal,3,1,Order Placed,7,0,2,1
342,Single Vision,3,0,Delivered,10,0,5,1
343,Single Vision,3,0,In Production,5,1,5,1
344,Single Vision,4,0,In Production,10,3,5,1
345,Bifocal,4,1,Out for Delivery,4,0,2,1
346,Bifocal,3,1,Ready for Dispatch,9,3,2,1
347,Bifocal,1,0,Order Placed,5,0,5,0
348,Bifocal,4,0,Delivered,9,0,5,0
349,Single Vision,2,1,Ready for Dispatch,7,0,2,1
350,Bifocal,1,0,Ready for Dispatch,7,3,5,1
351,Bifocal,1,1,Delivered,2,3,2,0
352,Bifocal,1,1,Ready for Dispatch,5,2,2,1
353,Progressive,1,0,Order Placed,9,2,5,1
354,Bifocal,4,0,In Production,5,0,5,0
355,Bifocal,2,1,Out for Delivery,2,0,2,0
356,Bifocal,1,0,Delivered,9,0,5,1
357,Single Vision,2,0,Ready for Dispatch,7,3,5,1
358,Single Vision,4,1,Ready for Dispatch,4,3,2,0
359,Bifocal,3,0,Order Placed,2,1,5,0
360,Progressive,1,1,Delivered,4,1,2,1
361,Bifocal,4,0,Out for Delivery,1,0,5,0
362,Bifocal,3,1,Ready for Dispatch,2,3,2,1
363,Single Vision,4,0,Out for Delivery,7,3,5,1
364,Progressive,2,0,Delivered,5,0,5,0
365,Single Vision,1,0,Ready for Dispatch,7,0,5,1
366,Bifocal,4,0,Order Placed,5,1,5,1
367,Single Vision,3,0,Out for Delivery,2,0,5,1
368,Bifocal,3,1,Out for Delivery,4,2,2,1
369,Bifocal,1,0,Order Placed,4,2,5,1
370,Progressive,2,0,Delivered,6,1,5,1
371,Progressive,2,1,In Production,1,0,2,0
372,Bifocal,2,0,Ready for Dispatch,9,3,5,1
373,Single Vision,2,0,Order Placed,7,0,5,0
374,Single Vision,1,0,In Production,1,1,5,0
375,Bifocal,3,1,Ready for Dispatch,7,3,2,1
376,Bifocal,3,0,In Production,10,2,5,1
377,Bifocal,2,1,In Production,7,1,2,1
378,Bifocal,2,0,Delivered,5,2,5,1
379,Single Vision,3,0,Out for Delivery,1,1,5,0
380,Single Vision,2,0,Ready for Dispatch,9,2,5,0
381,Bifocal,2,1,Delivered,8,2,2,0
382,Single Vision,4,1,Out for Delivery,3,3,2,1
383,Single Vision,2,1,Delivered,2,1,2,1
384,Bifocal,4,1,Ready for Dispatch,5,3,2,1
385,Single Vision,3,0,Delivered,6,2,5,1
386,Bifocal,2,1,In Production,7,0,2,1
387,Single Vision,3,1,Ready for Dispatch,7,2,2,1
388,Single Vision,2,1,In Production,7,3,2,1
389,Bifocal,4,1,In Production,6,1,2,1
390,Single Vision,1,0,Order Placed,3,0,5,0
391,Single Vision,2,1,Ready for Dispatch,8,0,2,1
392,Single Vision,1,0,Ready for Dispatch,2,1,5,0
393,Progressive,4,0,Ready for Dispatch,7,0,5,1
394,Single Vision,2,0,Ready for Dispatch,8,1,5,0
395,Progressive,1,0,Ready for Dispatch,6,1,5,1
396,Progressive,1,0,Ready for Dispatch,9,0,5,1
397,Progressive,1,0,Order Placed,8,1,5,1
398,Progressive,1,1,Out for Delivery,8,2,2,1
399,Bifocal,3,0,Delivered,1,1,5,0
400,Bifocal,1,0,Delivered,2,1,5,0
401,Bifocal,2,1,Out for Delivery,5,1,2,1
402,Bifocal,3,0,Delivered,8,2,5,1
403,Bifocal,1,0,Order Placed,6,3,5,1
404,Single Vision,1,1,Ready for Dispatch,8,3,2,1
405,Single Vision,4,1,Out for Delivery,10,1,2,0
406,Progressive,1,1,Out for Delivery,5,1,2,1
407,Bifocal,2,1,Delivered,1,0,2,0
408,Single Vision,4,1,Ready for Dispatch,7,3,2,1
409,Single Vision,2,0,Delivered,1,2,5,1
410,Bifocal,1,1,Delivered,4,1,2,0
411,Bifocal,1,1,Ready for Dispatch,9,1,2,1
412,Progressive,2,1,Out for Delivery,1,2,2,1
413,Single Vision,1,1,Ready for Dispatch,3,1,2,1
414,Bifocal,4,1,In Production,8,0,2,1
415,Single Vision,3,1,Ready for Dispatch,2,1,2,0
416,Progressive,4,0,In Production,4,2,5,0
417,Single Vision,2,1,Order Placed,2,3,2,1
418,Progressive,1,1,Order Placed,1,3,2,0
419,Bifocal,3,0,Order Placed,5,0,5,0
420,Progressive,1,1,Delivered,3,0,2,1
421,Single Vision,4,0,Order Placed,10,3,5,1
422,Bifocal,2,1,In Production,9,3,2,1
423,Progressive,4,1,Order Placed,10,2,2,1
424,Bifocal,4,1,Out for Delivery,8,2,2,1
425,Single Vision,2,1,Order Placed,10,0,2,1
426,Bifocal,3,0,Ready for Dispatch,2,1,5,0
427,Single Vision,3,1,Order Placed,2,1,2,1
428,Bifocal,1,0,Delivered,2,3,5,1
429,Bifocal,4,0,Out for Delivery,8,3,5,1
430,Bifocal,4,0,Order Placed,1,2,5,0
431,Bifocal,3,0,In Production,6,3,5,1
432,Single Vision,2,0,Delivered,5,0,5,0
433,Single Vision,4,0,Out for Delivery,4,1,5,1
434,Bifocal,3,1,Order Placed,1,3,2,0
435,Bifocal,1,1,Delivered,7,2,2,1
436,Single Vision,1,0,Out for Delivery,5,3,5,1
437,Progressive,2,0,Order Placed,5,1,5,1
438,Progressive,4,0,In Production,6,3,5,1
439,Bifocal,2,1,In Production,9,1,2,1
440,Single Vision,3,0,Order Placed,9,1,5,1
441,Bifocal,1,0,Delivered,10,0,5,0
442,Bifocal,1,1,Ready for Dispatch,9,0,2,1
443,Bifocal,1,0,Out for Delivery,7,1,5,1
444,Single Vision,2,1,Delivered,9,2,2,1
445,Bifocal,2,1,In Production,5,2,2,1
446,Bifocal,4,0,Ready for Dispatch,10,2,5,0
447,Bifocal,1,0,Out for Delivery,9,1,5,1
448,Bifocal,1,0,In Production,1,0,5,0
449,Bifocal,1,0,Delivered,10,1,5,1
450,Progressive,1,1,Ready for Dispatch,8,3,2,1
451,Bifocal,2,0,Delivered,10,1,5,1
452,Bifocal,2,0,In Production,5,2,5,1
453,Progressive,2,1,Out for Delivery,8,3,2,1
454,Single Vision,2,0,Out for Delivery,5,0,5,0
455,Bifocal,3,1,Out for Delivery,1,0,2,0
456,Bifocal,1,0,Order Placed,6,2,5,1
457,Single Vision,4,1,Order Placed,6,0,2,1
458,Single Vision,3,0,Out for Delivery,3,2,5,1
459,Bifocal,4,1,Delivered,9,3,2,1
460,Single Vision,4,1,Ready for Dispatch,5,1,2,0
461,Bifocal,4,1,Out for Delivery,4,2,2,1
462,Bifocal,2,1,In Production,8,0,2,1
463,Single Vision,1,0,Ready for Dispatch,5,2,5,1
464,Bifocal,1,0,Out for Delivery,7,2,5,1
465,Single Vision,1,1,Delivered,5,0,2,1
466,Bifocal,2,0,Out for Delivery,1,2,5,0
467,Bifocal,2,1,Ready for Dispatch,3,3,2,1
468,Single Vision,1,0,Out for Delivery,10,1,5,1
469,Single Vision,3,1,Ready for Dispatch,4,0,2,1
470,Bifocal,1,1,Ready for Dispatch,1,1,2,0
471,Progressive,3,1,Ready for Dispatch,2,0,2,1
472,Bifocal,4,0,Order Placed,6,2,5,1
473,Single Vision,2,1,Delivered,3,2,2,0
474,Single Vision,4,1,Delivered,2,1,2,0
475,Bifocal,3,1,Out for Delivery,2,1,2,0
476,Progressive,2,0,Delivered,8,1,5,1
477,Bifocal,2,1,Order Placed,3,0,2,1
478,Bifocal,2,0,Order Placed,5,1,5,0
479,Progressive,3,0,Order Placed,5,0,5,0
480,Bifocal,1,0,Order Placed,3,1,5,0
481,Progressive,4,0,In Production,10,2,5,1
482,Progressive,3,1,Order Placed,2,2,2,1
483,Single Vision,2,1,Ready for Dispatch,2,1,2,0
484,Bifocal,3,1,In Production,7,2,2,1
485,Progressive,2,1,Order Placed,8,2,2,0
486,Progressive,1,1,Delivered,1,2,2,1
487,Bifocal,3,1,Out for Delivery,9,0,2,1
488,Bifocal,1,1,Ready for Dispatch,8,2,2,1
489,Single Vision,4,0,Delivered,7,1,5,1
490,Single Vision,1,0,Order Placed,9,2,5,1
491,Bifocal,4,1,In Production,10,0,2,1
492,Single Vision,3,0,In Production,2,1,5,0
493,Progressive,2,1,In Production,2,0,2,0
494,Progressive,3,1,Ready for Dispatch,10,2,2,1
495,Single Vision,2,0,Ready for Dispatch,5,3,5,1
496,Single Vision,4,0,Ready for Dispatch,4,0,5,0
497,Bifocal,4,0,Order Placed,5,3,5,1
498,Progressive,1,1,Ready for Dispatch,6,1,2,1
499,Bifocal,2,0,Order Placed,4,1,5,1
500,Single Vision,3,1,Delivered,9,2,2,1
501,Progressive,3,1,Delivered,1,0,2,0
502,Single Vision,3,1,In Production,2,0,2,0
503,Single Vision,2,0,Delivered,2,3,5,1
504,Progressive,1,0,Ready for Dispatch,5,3,5,1
505,Single Vision,2,1,In Production,10,2,2,0
506,Bifocal,4,1,Delivered,4,1,2,0
507,Single Vision,2,0,Out for Delivery,7,0,5,1
508,Single Vision,4,0,Ready for Dispatch,9,2,5,1
509,Single Vision,2,0,Ready for Dispatch,6,3,5,1
510,Bifocal,4,0,Ready for Dispatch,7,2,5,1
511,Bifocal,3,0,In Production,3,3,5,0
512,Single Vision,1,0,Ready for Dispatch,10,3,5,1
513,Single Vision,4,1,Out for Delivery,1,2,2,1
514,Single Vision,4,0,In Production,4,3,5,1
515,Progressive,2,0,Out for Delivery,3,0,5,0
516,Single Vision,4,0,Order Placed,5,2,5,1
517,Bifocal,4,0,In Production,4,1,5,1
518,Progressive,1,1,Ready for Dispatch,1,1,2,1
519,Single Vision,2,0,Ready for Dispatch,9,3,5,1
520,Bifocal,1,0,Out for Delivery,2,3,5,1
521,Bifocal,4,1,Ready for Dispatch,3,3,2,1
522,Progressive,4,1,Order Placed,8,0,2,1
523,Bifocal,1,0,Out for Delivery,9,3,5,1
524,Bifocal,2,1,Order Placed,2,0,2,0
525,Bifocal,1,1,Delivered,7,3,2,1
526,Bifocal,1,1,In Production,1,2,2,1
527,Single Vision,4,0,In Production,5,3,5,1
